NCAA_Link,Year,School,Conf,Class,Pos,G,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
http://www.sports-reference.com/cfb/players/sekou-sanyika-1.html,1998,California,Pac-10,,LB,11.0,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/sekou-sanyika-1.html,1999,California,Pac-10,,LB,11.0,,,,,,,,,,,,,,,,,,2.0,37.0,18.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/sekou-sanyika-1.html,Career,California,,,,,,,,,,,,,,,,,,,,,,4.0,37.0,9.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/rashidi-barnes-1.html,1997,Colorado,Big 12,,DB,11.0,,,,,,,,,,,,,,,,,,1.0,26.0,26.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/rashidi-barnes-1.html,1998,Colorado,Big 12,,DB,6.0,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/rashidi-barnes-1.html,1999,Colorado,Big 12,,DB,11.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/rashidi-barnes-1.html,Career,Colorado,,,,,,,,,,,,,,,,,,,,,,3.0,29.0,9.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/erik-olson-1.html,1996,Colorado State,WAC,,DB,12.0,,,,,,,,,,,,,,,,,,3.0,35.0,11.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/erik-olson-1.html,1997,Colorado State,WAC,,DB,12.0,,,,,,,,,,,,,,,,,,1.0,20.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/erik-olson-1.html,1998,Colorado State,WAC,,DB,10.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
