NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/vernand-morency-1.html,*2004,Oklahoma State,Big 12,JR,RB,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.0,1474.0,5.7,12.0,5.0,101.0,20.2,1.0,263.0,1575.0,6.0,13.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/vernand-morency-1.html,Career,Oklahoma State,,,,,,,,,,,,,,,,,,,,,,,10.0,224.0,22.4,0.0,,,,,,,,,,451.0,2661.0,5.9,23.0,11.0,119.0,10.8,1.0,462.0,2780.0,6.0,24.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kirk-morrison-1.html,2001,San Diego State,MWC,SO,LB,11.0,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kirk-morrison-1.html,2002,San Diego State,MWC,SO,LB,13.0,,,,,,3.0,91.0,30.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kirk-morrison-1.html,2003,San Diego State,MWC,JR,LB,12.0,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kirk-morrison-1.html,2004,San Diego State,MWC,SR,RB,11.0,,,,,,1.0,14.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,2.5,0.0,,,,,2.0,5.0,2.5,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kirk-morrison-1.html,Career,San Diego State,,,,,,,,,,6.0,105.0,17.5,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,1.7,0.0,,,,,3.0,5.0,1.7,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/terrence-murphy-1.html,2001,Texas A&M,Big 12,FR,WR,11.0,,,,,,,,,,,,,,,,,,,1.0,19.0,19.0,0.0,,,,,,,,,,3.0,28.0,9.3,0.0,36.0,518.0,14.4,3.0,39.0,546.0,14.0,3.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/terrence-murphy-1.html,2002,Texas A&M,Big 12,SO,WR,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,599.0,16.6,4.0,36.0,599.0,16.6,4.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/terrence-murphy-1.html,2003,Texas A&M,Big 12,JR,WR,12.0,,,,,,,,,,,,,,,,,,,23.0,626.0,27.2,0.0,,,,,,,,,,10.0,150.0,15.0,1.0,44.0,762.0,17.3,0.0,54.0,912.0,16.9,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/terrence-murphy-1.html,*2004,Texas A&M,Big 12,SR,WR,11.0,,,,,,,,,,,,,,,1.0,13.0,13.0,0.0,7.0,116.0,16.6,0.0,,,,,,,,,,4.0,31.0,7.8,0.0,56.0,721.0,12.9,3.0,60.0,752.0,12.5,3.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/terrence-murphy-1.html,Career,Texas A&M,,,,,,,,,,,,,,,,,,,1.0,13.0,13.0,0.0,31.0,761.0,24.5,0.0,,,,,,,,,,17.0,209.0,12.3,1.0,172.0,2600.0,15.1,10.0,189.0,2809.0,14.9,11.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jared-newberry-1.html,2001,Stanford,Pac-10,SO,RB,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,19.0,9.5,1.0,,,,,2.0,19.0,9.5,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jared-newberry-1.html,2002,Stanford,Pac-10,SO,LB,11.0,,,,,,1.0,5.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jared-newberry-1.html,2003,Stanford,Pac-10,JR,LB,11.0,,,,,,1.0,14.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jared-newberry-1.html,2004,Stanford,Pac-10,SR,LB,11.0,,,,,,1.0,9.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,-2.0,-2.0,0.0,,,,,1.0,-2.0,-2.0,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jared-newberry-1.html,Career,Stanford,,,,,,,,,,3.0,28.0,9.3,0.0,,,,,,,,,,,,,,,,,,,,,,,3.0,17.0,5.7,1.0,,,,,3.0,17.0,5.7,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/donte-nicholson-1.html,*2003,Oklahoma,Big 12,JR,DB,14.0,,,,,,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/donte-nicholson-1.html,*2004,Oklahoma,Big 12,SR,DB,13.0,,,,,,1.0,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/donte-nicholson-1.html,Career,Oklahoma,,,,,,,,,,3.0,32.0,10.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/nick-novak-1.html,2001,Maryland,ACC,FR,K,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,42.0,97.6,16.0,25.0,64.0,89.0
