NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Punts,Punt_Yds,Punt_Avg
https://www.sports-reference.com/cfb/players/reginald-robinson-ii-1.html,*2016,Tulsa,American,FR,CB,12.0,30.0,7.0,37.0,0.5,0.0,0.0,0.0,,0.0,7.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/reginald-robinson-ii-1.html,2017,Tulsa,American,SO,CB,12.0,32.0,6.0,38.0,2.5,0.0,0.0,0.0,,0.0,9.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/reginald-robinson-ii-1.html,2018,Tulsa,American,JR,CB,5.0,13.0,6.0,19.0,0.0,0.0,0.0,0.0,,0.0,5.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/reginald-robinson-ii-1.html,Career,Tulsa,,,,,75.0,19.0,94.0,3.0,0.0,0.0,0.0,,0.0,21.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/henry-ruggs-iii-1.html,*2017,Alabama,SEC,FR,WR,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,12.0,229.0,19.1,6.0,12.0,229.0,19.1,6.0,13.0,239.0,18.4,0.0,8.0,46.0,5.8,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/henry-ruggs-iii-1.html,*2018,Alabama,SEC,SO,WR,14.0,6.0,1.0,7.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,46.0,741.0,16.1,11.0,46.0,741.0,16.1,11.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/henry-ruggs-iii-1.html,*2019,Alabama,SEC,JR,WR,12.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,2.0,75.0,37.5,1.0,40.0,746.0,18.7,7.0,42.0,821.0,19.5,8.0,12.0,286.0,23.8,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/henry-ruggs-iii-1.html,Career,Alabama,,,,,10.0,4.0,14.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,2.0,75.0,37.5,1.0,98.0,1716.0,17.5,24.0,100.0,1791.0,17.9,25.0,25.0,525.0,21.0,0.0,8.0,46.0,5.8,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/keith-ismael-1.html,*2018,San Diego State,MWC,SO,OL,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/keith-ismael-1.html,*2019,San Diego State,MWC,JR,OL,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
