NCAA_Link,Year,School,Conf,Class,Pos,G,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF
https://www.sports-reference.com/cfb/players/josh-reed-1.html,Career,LSU,,,,,,,,,,,,,,,9.0,63.0,7.0,1.0,167.0,3001.0,18.0,17.0,176.0,3064.0,17.4,18.0,6.0,129.0,21.5,0.0,2.0,5.0,2.5,0.0,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kris-richard-1.html,*1998,USC,Pac-10,,DB,11.0,,,,,,,,,,,,,,,,,,,,,,,1.0,20.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kris-richard-1.html,1999,USC,Pac-10,,DB,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,63.0,10.5,2.0,,,,,
https://www.sports-reference.com/cfb/players/kris-richard-1.html,2000,USC,Pac-10,JR,DB,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,98.0,7.5,0.0,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kris-richard-1.html,*2001,USC,Pac-10,SR,DB,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,94.0,47.0,1.0,,,0.0,1.0,
https://www.sports-reference.com/cfb/players/kris-richard-1.html,Career,USC,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,20.0,20.0,0.0,13.0,98.0,7.5,0.0,,,,,,,,,,,,,,,8.0,157.0,19.6,3.0,,,0.0,1.0,
https://www.sports-reference.com/cfb/players/derek-ross-1.html,*1998,Ohio State,Big Ten,,PR,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,39.0,19.5,0.0,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/derek-ross-1.html,*2000,Ohio State,Big Ten,SO,DB,12.0,,,,,,,,,,,,,,,,,,,,,,,3.0,65.0,21.7,0.0,,,,,,,,,,,,,,,,,,,2.0,23.0,11.5,0.0,,,,,
https://www.sports-reference.com/cfb/players/derek-ross-1.html,2001,Ohio State,Big Ten,SR,DB,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,194.0,27.7,1.0,,,,,
https://www.sports-reference.com/cfb/players/derek-ross-1.html,Career,Ohio State,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,65.0,21.7,0.0,2.0,39.0,19.5,0.0,,,,,,,,,,,,,,,9.0,217.0,24.1,1.0,,,,,
