NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD
https://www.sports-reference.com/cfb/players/terry-hawthorne-1.html,*2011,Illinois,Big Ten,JR,DB,13.0,41.0,19.0,60.0,5.0,0.0,3.0,39.0,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,37.0,7.4,0.0,1.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/terry-hawthorne-1.html,2012,Illinois,Big Ten,SR,DB,11.0,31.0,13.0,44.0,4.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,9.0,3.0,0.0,12.0,255.0,21.3,0.0
https://www.sports-reference.com/cfb/players/terry-hawthorne-1.html,Career,Illinois,,,,,114.0,48.0,162.0,12.5,1.0,6.0,83.0,13.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,46.0,5.8,0.0,18.0,347.0,19.3,0.0
https://www.sports-reference.com/cfb/players/dj-hayden-1.html,*2011,Houston,CUSA,JR,DB,13.0,52.0,14.0,66.0,8.0,1.0,2.0,58.0,29.0,1.0,11.0,2.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dj-hayden-1.html,2012,Houston,CUSA,SR,DB,9.0,38.0,23.0,61.0,1.5,0.0,4.0,171.0,42.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,11.0,11.0,0.0,,,,
https://www.sports-reference.com/cfb/players/dj-hayden-1.html,Career,Houston,,,,,90.0,37.0,127.0,9.5,1.0,6.0,229.0,38.2,3.0,11.0,2.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,11.0,11.0,0.0,,,,
https://www.sports-reference.com/cfb/players/eric-herman-1.html,*2010,Ohio,MAC,SO,OL,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/eric-herman-1.html,*2011,Ohio,MAC,JR,OL,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/eric-herman-1.html,*2012,Ohio,MAC,SR,OL,,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/eric-herman-1.html,Career,Ohio,,,,,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/aaron-hester-1.html,*2009,UCLA,Pac-10,FR,DB,3.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/aaron-hester-1.html,2010,UCLA,Pac-10,SO,DB,12.0,21.0,5.0,26.0,2.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/aaron-hester-1.html,*2011,UCLA,Pac-12,JR,DB,14.0,41.0,16.0,57.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/aaron-hester-1.html,*2012,UCLA,Pac-12,SR,DB,14.0,31.0,13.0,44.0,2.0,0.0,1.0,14.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/aaron-hester-1.html,Career,UCLA,,,,,97.0,34.0,131.0,6.0,0.0,5.0,14.0,2.8,0.0,11.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jordan-hill-2.html,*2011,Penn State,Big Ten,JR,DL,13.0,22.0,37.0,59.0,8.0,3.5,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jordan-hill-2.html,2012,Penn State,Big Ten,SR,DL,12.0,29.0,35.0,64.0,8.5,4.5,1.0,9.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jordan-hill-2.html,Career,Penn State,,,,,51.0,72.0,123.0,16.5,8.0,1.0,9.0,9.0,0.0,2.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
