NCAA_Link,Year,School,Conf,Class,Pos,G,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/charles-tillman-1.html,2000,Louisiana,Ind,SO,DB,11.0,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,6.0,15.0,2.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/charles-tillman-1.html,2001,Louisiana,Sun Belt,JR,DB,11.0,,,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,4.0,13.0,3.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/charles-tillman-1.html,2002,Louisiana,Sun Belt,SR,DB,12.0,,,,,,,,,0.0,0.0,,0.0,,,,,3.0,57.0,19.0,0.0,,,,,,2.0,8.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/charles-tillman-1.html,Career,Louisiana,,,,,,,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,3.0,57.0,19.0,0.0,,,,,,12.0,36.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/pisa-tinoisamoa-1.html,2000,Hawaii,WAC,SO,LB,12.0,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/pisa-tinoisamoa-1.html,*2002,Hawaii,WAC,SR,LB,14.0,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,2.0,23.0,11.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/pisa-tinoisamoa-1.html,Career,Hawaii,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,2.0,23.0,11.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/labrandon-toefield-1.html,2000,LSU,SEC,FR,RB,10.0,7.0,44.0,6.3,0.0,165.0,682.0,4.1,5.0,172.0,726.0,4.2,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/labrandon-toefield-1.html,2001,LSU,SEC,SO,RB,12.0,13.0,148.0,11.4,0.0,230.0,992.0,4.3,19.0,243.0,1140.0,4.7,19.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,100.0,-2.0,-2.0,-2.0,0.0,0.0,83.2,,,,,,,,,,
https://www.sports-reference.com/cfb/players/labrandon-toefield-1.html,*2002,LSU,SEC,JR,RB,9.0,5.0,41.0,8.2,1.0,116.0,475.0,4.1,2.0,121.0,516.0,4.3,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/labrandon-toefield-1.html,Career,LSU,,,,,25.0,233.0,9.3,1.0,511.0,2149.0,4.2,26.0,536.0,2382.0,4.4,27.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,100.0,-2.0,-2.0,-2.0,0.0,0.0,83.2,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jr-tolver-1.html,1999,San Diego State,MWC,FR,WR,6.0,9.0,101.0,11.2,2.0,,,,,9.0,101.0,11.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
