NCAA_Link,Year,School,Conf,Class,Pos,G,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Punts,Punt_Yds,Punt_Avg
https://www.sports-reference.com/cfb/players/dri-archer-1.html,2013,Kent State,MAC,SR,RB,10.0,25.0,327.0,13.1,4.0,68.0,527.0,7.8,6.0,93.0,854.0,9.2,10.0,0.0,0.0,,0.0,2.0,128.0,64.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dri-archer-1.html,Career,Kent State,,,,,99.0,1194.0,12.1,12.0,325.0,2342.0,7.2,24.0,424.0,3536.0,8.3,36.0,6.0,8.0,1.3,0.0,51.0,1436.0,28.2,4.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,1.0,1.0,100.0,24.0,24.0,44.0,1.0,0.0,631.6,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jeremiah-attaochu-1.html,*2010,Georgia Tech,ACC,FR,LB,12.0,,,,,,,,,,,,,,,,,,,,,18.0,5.0,23.0,4.0,3.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jeremiah-attaochu-1.html,*2011,Georgia Tech,ACC,SO,LB,11.0,,,,,,,,,,,,,,,,,,,,,35.0,24.0,59.0,11.5,6.0,1.0,5.0,5.0,0.0,2.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jeremiah-attaochu-1.html,*2012,Georgia Tech,ACC,JR,LB,,,,,,,,,,,,,,,,,,,,,,44.0,25.0,69.0,12.0,10.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jeremiah-attaochu-1.html,*2013,Georgia Tech,ACC,SR,LB,13.0,,,,,,,,,,,,,,,,,,,,,37.0,8.0,45.0,16.0,12.5,0.0,0.0,,0.0,2.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jeremiah-attaochu-1.html,Career,Georgia Tech,,,,,,,,,,,,,,,,,,,,,,,,,134.0,62.0,196.0,43.5,31.5,1.0,5.0,5.0,0.0,5.0,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dion-bailey-1.html,2011,USC,Pac-12,FR,LB,11.0,,,,,,,,,,,,,,,,,,,,,48.0,33.0,81.0,2.0,2.0,2.0,16.0,8.0,0.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dion-bailey-1.html,*2012,USC,Pac-12,SO,LB,13.0,,,,,,,,,,,,,,,,,,,,,48.0,32.0,80.0,8.0,1.0,4.0,4.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dion-bailey-1.html,*2013,USC,Pac-12,SR,LB,14.0,,,,,,,,,,,,,,,,,,,,,46.0,16.0,62.0,7.0,1.0,5.0,26.0,5.2,0.0,6.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dion-bailey-1.html,Career,USC,,,,,,,,,,,,,,,,,,,,,,,,,142.0,81.0,223.0,17.0,4.0,11.0,46.0,4.2,0.0,8.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/anthony-barr-1.html,2010,UCLA,Pac-10,FR,WR,12.0,9.0,66.0,7.3,0.0,6.0,29.0,4.8,0.0,15.0,95.0,6.3,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/anthony-barr-1.html,*2011,UCLA,Pac-12,SO,RB,12.0,3.0,16.0,5.3,1.0,9.0,25.0,2.8,1.0,12.0,41.0,3.4,2.0,,,,,,,,,1.0,1.0,2.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/anthony-barr-1.html,*2012,UCLA,Pac-12,JR,LB,14.0,,,,,,,,,0.0,0.0,,0.0,1.0,10.0,10.0,0.0,,,,,60.0,23.0,83.0,21.5,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/anthony-barr-1.html,*2013,UCLA,Pac-12,SR,RB,12.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,43.0,23.0,66.0,20.0,10.0,0.0,0.0,,0.0,1.0,4.0,,,6.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/anthony-barr-1.html,Career,UCLA,,,,,12.0,82.0,6.8,1.0,15.0,54.0,3.6,1.0,27.0,136.0,5.0,2.0,1.0,10.0,10.0,0.0,0.0,0.0,,0.0,105.0,47.0,152.0,41.5,23.5,0.0,0.0,,0.0,1.0,4.0,,,6.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lamin-barrow-1.html,*2010,LSU,SEC,FR,LB,12.0,,,,,,,,,,,,,,,,,,,,,8.0,10.0,18.0,0.5,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lamin-barrow-1.html,*2011,LSU,SEC,SO,LB,13.0,,,,,,,,,,,,,,,,,,,,,4.0,13.0,17.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lamin-barrow-1.html,*2012,LSU,SEC,JR,LB,,,,,,,,,,,,,,,,,,,,,,52.0,52.0,104.0,7.5,0.0,,,,,5.0,1.0,4.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lamin-barrow-1.html,*2013,LSU,SEC,SR,LB,13.0,,,,,,,,,,,,,,,,,,,,,23.0,68.0,91.0,5.5,1.5,0.0,0.0,,0.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lamin-barrow-1.html,Career,LSU,,,,,,,,,,,,,,,,,,,,,,,,,87.0,143.0,230.0,14.5,1.5,0.0,0.0,,0.0,7.0,3.0,4.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/deion-belue-1.html,*2012,Alabama,SEC,JR,DB,14.0,,,,,,,,,,,,,,,,,,,,,28.0,12.0,40.0,6.5,0.0,2.0,15.0,7.5,0.0,,,57.0,1.0,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/deion-belue-1.html,*2013,Alabama,SEC,,DB,8.0,,,,,,,,,,,,,,,,,,,,,17.0,3.0,20.0,1.0,0.0,1.0,28.0,28.0,0.0,3.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/deion-belue-1.html,Career,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,45.0,15.0,60.0,7.5,0.0,3.0,43.0,14.3,0.0,3.0,0.0,57.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kelvin-benjamin-1.html,*2012,Florida State,ACC,FR,WR,14.0,30.0,495.0,16.5,4.0,2.0,33.0,16.5,0.0,32.0,528.0,16.5,4.0,,,,,,,,,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kelvin-benjamin-1.html,*2013,Florida State,ACC,SO,WR,14.0,54.0,1011.0,18.7,15.0,0.0,0.0,,0.0,54.0,1011.0,18.7,15.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
