NCAA_Link,Year,School,Conf,Class,Pos,G,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/kyle-bosworth-1.html,*2005,UCLA,Pac-10,FR,LB,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-8.0,-8.0,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kyle-bosworth-1.html,*2006,UCLA,Pac-10,SO,LB,12.0,,,,,,,,,,,,,7.0,6.0,13.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kyle-bosworth-1.html,*2007,UCLA,Pac-10,JR,LB,13.0,,,,,,,,,,,,,45.0,29.0,74.0,5.0,0.5,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kyle-bosworth-1.html,2008,UCLA,Pac-10,SR,LB,3.0,,,,,,,,,,,,,8.0,1.0,9.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kyle-bosworth-1.html,*2009,UCLA,Pac-10,SR,LB,13.0,,,,,,,,,,,,,46.0,31.0,77.0,7.5,1.5,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kyle-bosworth-1.html,Career,UCLA,,,,,,,,,,,,,,,,,106.0,67.0,173.0,13.5,2.0,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,2.0,,,,,,,,,,0.0,0.0,,0.0,1.0,-8.0,-8.0,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/brent-bowden-1.html,*2007,Virginia Tech,ACC,SO,P,14.0,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,3742.0,42.5,,,,,,,
https://www.sports-reference.com/cfb/players/brent-bowden-1.html,*2008,Virginia Tech,ACC,JR,P,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,2785.0,40.4,,,,,,,
https://www.sports-reference.com/cfb/players/brent-bowden-1.html,*2009,Virginia Tech,ACC,SR,P,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,2495.0,43.8,,,,,,,
https://www.sports-reference.com/cfb/players/brent-bowden-1.html,Career,Virginia Tech,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,214.0,9022.0,42.2,,,,,,,
