NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/danny-amendola-1.html,Career,Texas Tech,,,,,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,7.0,20.0,2.9,0.0,204.0,2246.0,11.0,15.0,211.0,2266.0,10.7,15.0,17.0,290.0,17.1,0.0,116.0,1283.0,11.1,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/adrian-arrington-1.html,*2004,Michigan,Big Ten,FR,WR,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,12.0,6.0,0.0,2.0,12.0,6.0,0.0,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/adrian-arrington-1.html,*2005,Michigan,Big Ten,SO,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,1.0,15.0,15.0,0.0,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/adrian-arrington-1.html,*2006,Michigan,Big Ten,JR,WR,13.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,40.0,544.0,13.6,8.0,40.0,544.0,13.6,8.0,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/adrian-arrington-1.html,*2007,Michigan,Big Ten,SR,WR,13.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,1.0,2.0,50.0,11.0,5.5,15.5,1.0,0.0,261.2,,,,,67.0,882.0,13.2,8.0,67.0,882.0,13.2,8.0,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/adrian-arrington-1.html,Career,Michigan,,,,,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,1.0,2.0,50.0,11.0,5.5,15.5,1.0,0.0,261.2,,,,,109.0,1438.0,13.2,16.0,109.0,1438.0,13.2,16.0,1.0,15.0,15.0,0.0,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/donnie-avery-1.html,2004,Houston,CUSA,FR,WR,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,293.0,16.3,2.0,18.0,293.0,16.3,2.0,18.0,343.0,19.1,0.0,3.0,28.0,9.3,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/donnie-avery-1.html,*2005,Houston,CUSA,SO,WR,12.0,5.0,0.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,44.0,688.0,15.6,5.0,44.0,688.0,15.6,5.0,1.0,16.0,16.0,0.0,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/donnie-avery-1.html,*2006,Houston,CUSA,JR,WR,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,852.0,14.9,5.0,57.0,852.0,14.9,5.0,6.0,113.0,18.8,0.0,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/donnie-avery-1.html,2007,Houston,CUSA,SR,WR,13.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,91.0,1456.0,16.0,7.0,91.0,1456.0,16.0,7.0,15.0,424.0,28.3,1.0,,,,,,,,,,,,,,
