NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/lamar-miller-1.html,*2010,Miami (FL),ACC,FR,RB,11.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,11.0,96.0,8.7,0.0,108.0,646.0,6.0,6.0,119.0,742.0,6.2,6.0,3.0,16.0,5.3,0.0,8.0,214.0,26.8,1.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lamar-miller-1.html,2011,Miami (FL),ACC,SO,RB,12.0,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,,,0.0,17.0,85.0,5.0,1.0,227.0,1272.0,5.6,9.0,244.0,1357.0,5.6,10.0,,,,,7.0,162.0,23.1,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lamar-miller-1.html,Career,Miami (FL),,,,,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,,,0.0,28.0,181.0,6.5,1.0,335.0,1918.0,5.7,15.0,363.0,2099.0,5.8,16.0,3.0,16.0,5.3,0.0,15.0,376.0,25.1,1.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/chase-minnifield-1.html,2008,Virginia,ACC,FR,DB,12.0,21.0,4.0,25.0,0.0,0.0,2.0,30.0,15.0,0.0,,,,,,,,,,,,,,,,,,1.0,10.0,10.0,0.0,21.0,490.0,23.3,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/chase-minnifield-1.html,2009,Virginia,ACC,SO,DB,12.0,21.0,7.0,28.0,2.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,20.0,88.0,4.4,0.0,22.0,513.0,23.3,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/chase-minnifield-1.html,2010,Virginia,ACC,JR,DB,12.0,34.0,14.0,48.0,3.0,0.5,6.0,80.0,13.3,0.0,4.0,0.0,,,0.0,,,,,,,,,,,,,13.0,84.0,6.5,0.0,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/chase-minnifield-1.html,*2011,Virginia,ACC,SR,DB,12.0,33.0,17.0,50.0,7.0,1.5,3.0,54.0,18.0,1.0,8.0,0.0,,,0.0,,,,,,,,,,,,,1.0,12.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/chase-minnifield-1.html,Career,Virginia,,,,,109.0,42.0,151.0,12.0,2.0,13.0,164.0,12.6,1.0,12.0,0.0,,,0.0,,,,,,,,,,,,,35.0,194.0,5.5,0.0,43.0,1003.0,23.3,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/charles-mitchell-1.html,2008,Mississippi State,SEC,FR,DB,12.0,17.0,14.0,31.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/charles-mitchell-1.html,2009,Mississippi State,SEC,SO,DB,12.0,39.0,25.0,64.0,1.5,0.0,4.0,131.0,32.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/charles-mitchell-1.html,*2010,Mississippi State,SEC,JR,DB,13.0,55.0,38.0,93.0,3.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/charles-mitchell-1.html,*2011,Mississippi State,SEC,SR,DB,13.0,50.0,45.0,95.0,3.0,1.0,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/charles-mitchell-1.html,Career,Mississippi State,,,,,161.0,122.0,283.0,7.5,1.0,4.0,131.0,32.8,1.0,5.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/david-molk-1.html,2008,Michigan,Big Ten,FR,OL,12.0,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/david-molk-1.html,*2011,Michigan,Big Ten,,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/david-molk-1.html,Career,Michigan,,,,,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rennie-moore-1.html,*2009,Clemson,ACC,SO,DL,13.0,9.0,10.0,19.0,5.0,2.5,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rennie-moore-1.html,*2010,Clemson,ACC,JR,DL,13.0,7.0,14.0,21.0,6.0,2.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rennie-moore-1.html,*2011,Clemson,ACC,SR,DL,14.0,26.0,17.0,43.0,9.0,4.0,0.0,0.0,,0.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rennie-moore-1.html,Career,Clemson,,,,,42.0,41.0,83.0,20.0,8.5,0.0,0.0,,0.0,2.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kellen-moore-1.html,*2008,Boise State,WAC,FR,QB,13.0,,,,,,,,,,,,,,,,,,,38.0,-30.0,-0.8,1.0,38.0,-30.0,-0.8,1.0,,,,,,,,,281.0,405.0,69.4,3486.0,8.6,8.7,25.0,10.0,157.1,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kellen-moore-1.html,*2009,Boise State,WAC,SO,QB,14.0,,,,,,,,,,,,,,,,,,,24.0,-5.0,-0.2,1.0,24.0,-5.0,-0.2,1.0,,,,,,,,,277.0,431.0,64.3,3536.0,8.2,9.7,39.0,3.0,161.7,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kellen-moore-1.html,*2010,Boise State,WAC,JR,QB,13.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,1.0,7.0,7.0,1.0,19.0,-32.0,-1.7,1.0,20.0,-25.0,-1.3,2.0,,,,,,,,,273.0,383.0,71.3,3845.0,10.0,11.2,35.0,6.0,182.6,3.0,119.0,39.7,,,,,,,
https://www.sports-reference.com/cfb/players/kellen-moore-1.html,*2011,Boise State,MWC,SR,QB,13.0,,,,,,,,,,,,,,,,,,,20.0,-66.0,-3.3,0.0,20.0,-66.0,-3.3,0.0,,,,,,,,,326.0,439.0,74.3,3800.0,8.7,9.7,43.0,9.0,175.2,2.0,66.0,33.0,,,,,,,
https://www.sports-reference.com/cfb/players/kellen-moore-1.html,Career,Boise State,,,,,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,1.0,7.0,7.0,1.0,101.0,-133.0,-1.3,3.0,102.0,-126.0,-1.2,4.0,,,,,,,,,1157.0,1658.0,69.8,14667.0,8.8,9.8,142.0,28.0,169.0,5.0,185.0,37.0,,,,,,,
https://www.sports-reference.com/cfb/players/kashif-moore-1.html,*2008,Connecticut,Big East,SO,WR,12.0,1.0,1.0,2.0,0.0,0.0,,,,,,,,,,27.0,273.0,10.1,1.0,1.0,5.0,5.0,0.0,28.0,278.0,9.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kashif-moore-1.html,*2009,Connecticut,Big East,SO,WR,13.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,22.0,370.0,16.8,3.0,5.0,24.0,4.8,0.0,27.0,394.0,14.6,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kashif-moore-1.html,*2010,Connecticut,Big East,JR,WR,13.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,36.0,452.0,12.6,4.0,5.0,5.0,1.0,0.0,41.0,457.0,11.1,4.0,,,,,8.0,169.0,21.1,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kashif-moore-1.html,2011,Connecticut,Big East,SR,WR,12.0,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,,,0.0,41.0,604.0,14.7,5.0,9.0,25.0,2.8,1.0,50.0,629.0,12.6,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kashif-moore-1.html,Career,Connecticut,,,,,3.0,1.0,4.0,0.0,0.0,,,,,0.0,0.0,,,0.0,126.0,1699.0,13.5,13.0,20.0,59.0,3.0,1.0,146.0,1758.0,12.0,14.0,,,,,8.0,169.0,21.1,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/alfred-morris-1.html,2008,Florida Atlantic,Sun Belt,SO,RB,11.0,7.0,3.0,10.0,0.0,0.0,,,,,,,,,,,,,,7.0,23.0,3.3,0.0,7.0,23.0,3.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/alfred-morris-1.html,2009,Florida Atlantic,Sun Belt,SO,RB,12.0,,,,,,,,,,,,,,,7.0,114.0,16.3,2.0,263.0,1392.0,5.3,11.0,270.0,1506.0,5.6,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/alfred-morris-1.html,2010,Florida Atlantic,Sun Belt,JR,RB,12.0,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,,,0.0,8.0,47.0,5.9,1.0,227.0,928.0,4.1,7.0,235.0,975.0,4.1,8.0,,,,,1.0,9.0,9.0,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/alfred-morris-1.html,2011,Florida Atlantic,Sun Belt,SR,RB,12.0,2.0,0.0,2.0,0.0,0.0,,,,,0.0,0.0,,,0.0,15.0,139.0,9.3,1.0,236.0,1186.0,5.0,9.0,251.0,1325.0,5.3,10.0,,,,,1.0,5.0,5.0,0.0,,,,,,,,,,,,,,,,,,,
