NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/michael-bennett-3.html,2008,Texas A&M,Big 12,SR,DL,11.0,11.0,8.0,19.0,3.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/michael-bennett-3.html,Career,Texas A&M,,,,,51.0,61.0,112.0,19.5,6.5,1.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ron-brace-1.html,*2005,Boston College,ACC,FR,DL,8.0,6.0,5.0,11.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ron-brace-1.html,*2006,Boston College,ACC,SO,DL,11.0,11.0,9.0,20.0,3.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ron-brace-1.html,*2007,Boston College,ACC,JR,DL,14.0,14.0,13.0,27.0,7.5,2.5,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ron-brace-1.html,*2008,Boston College,ACC,SR,DL,14.0,19.0,8.0,27.0,10.0,2.5,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ron-brace-1.html,Career,Boston College,,,,,50.0,35.0,85.0,22.0,5.0,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/tom-brandstater-1.html,*2005,Fresno State,WAC,SO,QB,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-2.0,-2.0,0.0,1.0,-2.0,-2.0,0.0,6.0,13.0,46.2,49.0,3.8,1.8,1.0,1.0,87.8,,,,,,,,,,
https://www.sports-reference.com/cfb/players/tom-brandstater-1.html,2006,Fresno State,WAC,SO,QB,11.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,32.0,86.0,2.7,1.0,32.0,86.0,2.7,1.0,146.0,268.0,54.5,1490.0,5.6,4.2,13.0,14.0,106.7,,,,,,,,,,
https://www.sports-reference.com/cfb/players/tom-brandstater-1.html,*2007,Fresno State,WAC,JR,QB,13.0,0.0,1.0,1.0,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,48.0,118.0,2.5,3.0,48.0,118.0,2.5,3.0,211.0,337.0,62.6,2654.0,7.9,8.1,15.0,5.0,140.5,,,,,,,,,,
https://www.sports-reference.com/cfb/players/tom-brandstater-1.html,*2008,Fresno State,WAC,SR,QB,13.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,51.0,-50.0,-1.0,4.0,51.0,-50.0,-1.0,4.0,221.0,371.0,59.6,2664.0,7.2,6.7,18.0,12.0,129.4,,,,,,,,,,
https://www.sports-reference.com/cfb/players/tom-brandstater-1.html,Career,Fresno State,,,,,2.0,1.0,3.0,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,132.0,152.0,1.2,8.0,132.0,152.0,1.2,8.0,584.0,989.0,59.0,6857.0,6.9,6.4,47.0,32.0,126.5,,,,,,,,,,
https://www.sports-reference.com/cfb/players/justin-brantly-1.html,2005,Texas A&M,Big 12,FR,P,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,-15.0,-7.5,0.0,2.0,-15.0,-7.5,0.0,,,,,,,,,,46.0,1989.0,43.2,,,,,,,
https://www.sports-reference.com/cfb/players/justin-brantly-1.html,*2006,Texas A&M,Big 12,SO,P,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,50.0,2215.0,44.3,,,,,,,
https://www.sports-reference.com/cfb/players/justin-brantly-1.html,*2007,Texas A&M,Big 12,JR,P,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,4.0,0.0,1.0,4.0,4.0,0.0,,,,,,,,,,56.0,2475.0,44.2,,,,,,,
https://www.sports-reference.com/cfb/players/justin-brantly-1.html,2008,Texas A&M,Big 12,SR,P,12.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,51.0,2331.0,45.7,,,,,,,
