Combine_Year,Player_ID,Top_Talent,Rnd,Round_Cat,Pick,Draft_Team,Player,AV,Exp_AV,Success,Class,Underclassman,Pos,Pos_Group,Pos_Type,Draft_age,School,Conf,Power_Conf,Ht,Wt,BMI,Arm_length,Hand_size,40yd,Speed_Score,HASS,Vertical,Vertical_Jump_Power,Bench,Bench_Diff,BroadJump,Broad_Jump_Power,3Cone,Shuttle,Quix_Score,School_Off_Rnk,School_Def_Rnk,School_Off_Rating,School_Def_Rating,School_Rating,Consensus_AA,Dominator_Rating_Prior,Dominator_Rating_Draft,Adj_Pass_Att_PG_Prior,Adj_Pass_Att_PG_Draft,Adj_Pass_Cmp_PG_Prior,Adj_Pass_Cmp_PG_Draft,Pass_Pct_Prior,Pass_Pct_Draft,Adj_Pass_Yds_PG_Prior,Adj_Pass_Yds_PG_Draft,Adj_Pass_TD_PG_Prior,Adj_Pass_TD_PG_Draft,Adj_Pass_Int_PG_Prior,Adj_Pass_Int_PG_Draft,Pass_YA_Prior,Pass_YA_Draft,Pass_AYA_Prior,Pass_AYA_Draft,Pass_Rate_Prior,Pass_Rate_Draft,Adj_Rush_Att_PG_Prior,Adj_Rush_Att_PG_Draft,Adj_Rush_Yds_PG_Prior,Adj_Rush_Yds_PG_Draft,Rush_Avg_Prior,Rush_Avg_Draft,Adj_Rush_TD_PG_Prior,Adj_Rush_TD_PG_Draft,Adj_Rec_PG_Prior,Adj_Rec_PG_Draft,Adj_Rec_Yds_PG_Prior,Adj_Rec_Yds_PG_Draft,Adj_Rec_TD_PG_Prior,Adj_Rec_TD_PG_Draft,Adj_Scrim_Yds_PG_Prior,Adj_Scrim_Yds_PG_Draft,Adj_Scrim_TD_PG_Prior,Adj_Scrim_TD_PG_Draft,Non_offensive_TD_PG_Prior,Non_offensive_TD_PG_Draft,Adj_Def_Solo_Tackles_PG_Prior,Adj_Def_Solo_Tackles_PG_Draft,Adj_Def_Ast_Tackles_PG_Prior,Adj_Def_Ast_Tackles_PG_Draft,Adj_Def_Tot_Tackles_PG_Prior,Adj_Def_Tot_Tackles_PG_Draft,Adj_Def_Loss_Tackles_PG_Prior,Adj_Def_Loss_Tackles_PG_Draft,Adj_Def_Sk_PG_Prior,Adj_Def_Sk_PG_Draft,Adj_Def_Int_PG_Prior,Adj_Def_Int_PG_Draft,Adj_Def_PD_PG_Prior,Adj_Def_PD_PG_Draft,Adj_Def_FF_PG_Prior,Adj_Def_FF_PG_Draft,Adj_Def_FR_PG_Prior,Adj_Def_FR_PG_Draft,Adj_Def_Int_TD_PG_Prior,Adj_Def_Int_TD_PG_Draft,Adj_Def_TD_Fumbles_PG_Prior,Adj_Def_TD_Fumbles_PG_Draft
2016,dak-prescott-1,0,4,Rounds 4-7,135,DAL,Dak Prescott,56,4.3,Success,SR,0,QB,QB,Offense,23,Mississippi State,SEC,1,74,226,29.01,32.25,10.875,4.79,85.86,86.74,32.5,7598.78,NULL,NULL,116,20472.64,7.11,4.32,92.69,33,36,8.45,5.14,13.59,0,0,0,17.46,28.56,10.53,18.92,60.7,66.2,140.11,228.5,1.02,1.74,0.45,0.3,7.57,8,8.33,8.7,147.37,151,8.69,13.15,45.15,48.64,4.87,3.7,0.74,0.82,0.1,0,2.29,0,0.08,0,43.91,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,dale-robinson-1,0,8,Undrafted,999,Undrafted,Dale Robinson,NULL,NULL,Success,SR,0,ILB,LB,Defense,NULL,Arizona State,Pac-10,1,72,231,31.33,31.88,9.38,4.76,89.99,87.25,33,7778.59,18,-1.6,108,19341.94,7.29,4.3,89.61,7,87,11.21,-1.59,9.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31,0,2.94,0,8.25,0,1.08,0,0.29,0.07,0,0,0.07,0,0.22,0,0.07,0,0,0,0
2007,dallas-baker-1,0,7,Rounds 4-7,227,PIT,Dallas Baker,0,0.1,Bust,SR,0,WR,Receivers,Offense,24,Florida,SEC,1,75,208,26,36.5,10.13,4.53,98.79,101.83,36,7768.61,NULL,NULL,129,22107.16,6.69,4.19,103.91,24,6,7.58,12.08,19.66,0,0.15,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,4.51,33.33,69.17,0.28,0.75,33.33,69.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,dallas-clark-1,1,1,Rounds 1-3,24,IND,Dallas Clark,51,19.9,Success,JR,1,TE,Receivers,Offense,24,Iowa,Big Ten,1,75,257,32.12,32,10.13,4.65,109.94,113.32,37.5,9006.54,NULL,NULL,123,22188.76,NULL,NULL,NULL,7,24,7.19,8.76,15.94,1,0.21,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,4.1,49.91,70.67,0.37,0.38,49.91,70.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,dallas-sartz-1,0,5,Rounds 4-7,143,WAS,Dallas Sartz,0,3.8,Bust,SR,0,OLB,LB,Defense,NULL,USC,Pac-10,1,77,235,27.86,33.5,9,4.71,95.5,102.4,33.5,7937.85,20,3.7,111,19886.65,6.85,4.13,113.18,18,11,9.19,11.17,20.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,3.27,0.12,2.18,1.06,5.45,0.29,0.74,0.21,0.48,0.03,0,0,0.34,0,0.08,0,0,0,0,0,0
2020,dalton-keene-1,1,3,Rounds 1-3,101,NWE,Dalton Keene,0,6.8,Bust,JR,1,TE,Receivers,Offense,21,Virginia Tech,ACC,1,76,253,30.79,32.25,9.75,4.71,102.82,108.11,34,8384.74,21,1.7,125,22414.94,7.07,4.19,110.17,50,46,3.48,-0.11,3.37,0,0.07,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,2.66,0,3,0,0,1.95,2.57,27.34,29.39,0.12,0.61,27.34,32.04,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,dalton-schultz-1,0,4,Rounds 4-7,137,DAL,Dalton Schultz,1,4.2,Bust,SR,0,TE,Receivers,Offense,22,Stanford,Pac-12,1,77,244,28.93,31.75,9.25,4.75,95.86,102.79,32,7891.49,15,-2.4,120,21459.15,7,4.4,101.13,38,35,5.73,5.11,10.84,0,0.06,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,2.32,19.8,22.32,0.12,0.32,19.8,22.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,dalvin-cook-1,1,2,Rounds 1-3,41,MIN,Dalvin Cook,23,15,Success,JR,1,RB,OB,Offense,22,Florida State,ACC,1,70,210,30.13,32.375,9.25,4.49,103.34,96.05,30.5,6961.71,22,3.5,116,20143.93,7.27,4.53,75.82,31,45,9.49,5.52,15.01,1,0.28,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.32,19.5,117.54,118.93,6.65,6.1,1.18,1.29,1.62,2.35,15.83,34.77,0.04,0.07,133.37,153.71,1.22,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,dalvin-tomlinson-1,1,2,Rounds 1-3,55,NYG,Dalvin Tomlinson,20,12.2,Success,SR,0,DT,DL,Defense,23,Alabama,SEC,1,75,310,38.74,33.5,10.125,5.19,85.45,88.08,27,8476.51,NULL,NULL,110,21273.29,7.68,4.59,95.74,15,1,8.01,17.62,25.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,1.12,1.83,2.98,3.17,4.1,0.19,0.36,0.04,0.18,0,0,0.11,0.24,0,0.07,0,0,0,0,0,0
2015,damarious-randall-1,1,1,Rounds 1-3,30,GNB,Damarious Randall,21,17.9,Success,SR,0,FS,DB,Defense,23,Arizona State,Pac-12,1,71,196,27.33,30.25,8.63,4.46,99.07,94.06,38,7830.43,14,-2,120,20473.03,6.83,4.07,97.2,16,75,10.24,3.02,13.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22,5.86,2.02,1.28,6.24,7.14,0.48,0.64,0,0.07,0.26,0.2,0.26,0.6,0.18,0.13,0,0.07,0.09,0.07,0,0
