Combine_Year,Player_ID,Top_Talent,Rnd,Round_Cat,Pick,Draft_Team,Player,AV,Exp_AV,Success,Class,Underclassman,Pos,Pos_Group,Pos_Type,Draft_age,School,Conf,Power_Conf,Ht,Wt,BMI,Arm_length,Hand_size,40yd,Speed_Score,HASS,Vertical,Vertical_Jump_Power,Bench,Bench_Diff,BroadJump,Broad_Jump_Power,3Cone,Shuttle,Quix_Score,School_Off_Rnk,School_Def_Rnk,School_Off_Rating,School_Def_Rating,School_Rating,Consensus_AA,Dominator_Rating_Prior,Dominator_Rating_Draft,Non_offensive_TD_PG_Prior,Non_offensive_TD_PG_Draft,Adj_Def_Solo_Tackles_PG_Prior,Adj_Def_Solo_Tackles_PG_Draft,Adj_Def_Ast_Tackles_PG_Prior,Adj_Def_Ast_Tackles_PG_Draft,Adj_Def_Tot_Tackles_PG_Prior,Adj_Def_Tot_Tackles_PG_Draft,Adj_Def_Loss_Tackles_PG_Prior,Adj_Def_Loss_Tackles_PG_Draft,Adj_Def_Sk_PG_Prior,Adj_Def_Sk_PG_Draft,Adj_Def_Int_PG_Prior,Adj_Def_Int_PG_Draft,Adj_Def_PD_PG_Prior,Adj_Def_PD_PG_Draft,Adj_Def_FF_PG_Prior,Adj_Def_FF_PG_Draft,Adj_Def_FR_PG_Prior,Adj_Def_FR_PG_Draft,Adj_Def_Int_TD_PG_Prior,Adj_Def_Int_TD_PG_Draft,Adj_Def_TD_Fumbles_PG_Prior,Adj_Def_TD_Fumbles_PG_Draft
2008,caleb-campbell-1,0,7,Rounds 4-7,218,DET,Caleb Campbell,0,0.3,Bust,SR,0,SS,DB,Defense,23,Army,Ind,0,74,229,29.4,30.75,9.63,4.57,105,106.08,NULL,NULL,24,6.2,NULL,NULL,NULL,NULL,NULL,116,83,-11.94,-1.96,-13.9,0,0,0,0,0,4.49,4.96,3.14,2.11,7.63,7.07,0.18,0.15,0,0,0.32,0,0,0.2,0,0.22,0,0,0,0,0,0
2004,caleb-miller-1,1,3,Rounds 1-3,80,CIN,Caleb Miller,10,8.7,Success,SR,0,ILB,LB,Defense,24,Arkansas,SEC,1,75,224,28,33.25,9,4.66,95,97.93,34.5,7866.05,23,6.6,120,21048.26,6.85,3.93,116.11,21,48,9.34,3.33,12.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0.07,0,0,0,0
2020,cale-garrett-1,0,8,Undrafted,999,Undrafted,Cale Garrett,NULL,NULL,Success,SR,0,ILB,LB,Defense,NULL,Missouri,SEC,1,74,234,30.04,31.25,9.5,4.92,79.87,80.69,32,7686.04,NULL,NULL,124,21870.42,6.91,4.13,110.26,95,15,-2.29,5.17,2.88,0,0,0,0,0,3.86,6.07,2.24,1.82,6.1,7.9,0.54,0.81,0.09,0.21,0.07,0.62,0.08,0.41,0,0,0.02,0.2,0,0.41,0,0.2
2006,calvin-lowry-1,0,4,Rounds 4-7,102,TEN,Calvin Lowry,7,6.7,Success,SR,0,SS,DB,Defense,23,Penn State,Big Ten,1,71,200,27.89,30.88,9.13,4.54,94.15,89.39,36,7604.25,15,-1.5,120,20555.2,7.16,4.2,84.06,13,10,8.75,11.66,20.41,0,0,0,0,0,0,3.56,0,2.3,0,5.86,0,0.11,0,0.07,0.2,0.28,0,0,0,0,0,0,0,0,0,0
2014,calvin-pryor-1,1,1,Rounds 1-3,18,NYJ,Calvin Pryor,14,22.3,Bust,JR,1,FS,DB,Defense,22,Louisville,American,1,71,207,28.87,31.38,9.13,4.58,94.09,89.33,34.5,7516.79,18,0.7,116,20082.3,NULL,NULL,NULL,25,2,-0.18,10.18,9.99,0,0,0,0,0,3.21,5.64,2.33,2.17,5.54,7.81,0.21,0.33,0.07,0,0.15,0.31,0.18,0.42,0.08,0,0.08,0,0,0,0,0
2020,cameron-brown-1,0,6,Rounds 4-7,183,NYG,Cameron Brown,0,1.8,Bust,SR,0,OLB,LB,Defense,22,Penn State,Big Ten,1,77,233,27.63,34,9.5,4.72,93.89,100.68,35.5,8205.12,16,-0.1,123,21695.7,NULL,NULL,NULL,15,8,5.84,11.5,17.34,0,0,0,0,0,1.86,2.02,1.56,3,3.42,5.02,0.23,0.38,0.07,0.13,0,0,0.17,0.27,0.07,0.07,0,0.14,0,0,0,0
2020,cameron-dantzler-1,1,3,Rounds 1-3,89,MIN,Cameron Dantzler,0,7.8,Bust,JR,1,CB,DB,Defense,22,Mississippi State,SEC,1,74,188,24.14,30.625,9,4.64,81.12,81.95,34.5,7126.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,74,73,3.51,1.37,4.87,0,0,0,0,0,2.18,3.54,1.05,1.03,3.23,4.57,0.22,0.23,0.04,0.06,0.14,0.24,0.55,0.94,0,0.11,0,0.11,0,0,0,0
2011,cameron-heyward-1,1,1,Rounds 1-3,31,PIT,Cameron Heyward,65,17.6,Success,SR,0,DE,DL,Defense,22,Ohio State,Big Ten,1,77,294,34.86,34.25,10.13,4.95,97.94,105.02,30,8610.34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,5,4.66,12.7,17.37,0,0,0,0,0,1.43,2.06,1.56,1.89,2.99,3.95,0.64,1.07,0.29,0.27,0,0.08,0.1,0,0.05,0,0,0,0,0,0.03,0
2011,cameron-jordan-1,1,1,Rounds 1-3,24,NOR,Cameron Jordan,77,19.9,Success,SR,0,DE,DL,Defense,22,California,Pac-10,1,76,287,34.93,35,11.13,4.74,113.71,119.56,31,8620.71,25,1.5,117,21880.02,7.07,4.37,117.29,73,40,-2.22,7.57,5.35,0,0,0,0,0,1.35,2.69,1.41,2.37,2.76,5.06,0.53,1.02,0.26,0.46,0.03,0,0.02,0.33,0,0.24,0,0.08,0,0,0.02,0.08
2010,cameron-sheffield-1,0,5,Rounds 4-7,142,KAN,Cameron Sheffield,1,3.9,Bust,SR,0,OLB,LB,Defense,22,Troy,Sun Belt,0,74,257,32.99,33,10,4.92,87.72,88.62,33,8312.74,NULL,NULL,115,20955.33,7.23,4.53,94.06,16,93,5.56,-2.84,2.73,0,0,0,0,0,1.44,2.08,0.76,1.39,2.2,3.47,0.47,0.69,0.2,0.38,0.03,0,0.07,0.18,0.09,0.07,0,0,0,0,0,0
