Year,Player_NCAA_ID,NCAA_Link,Rk,Player,School,Conf,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts
2000,damon-duval-1,/cfb/players/damon-duval-1.html,25,Damon Duval,Auburn,SEC,12,34,34,100.0,14,18,77.8,76
2000,tim-long-1,/cfb/players/tim-long-1.html,26,Tim Long*,Northwestern,Big Ten,12,50,52,96.2,13,17,76.5,89
2000,sean-keel-1,/cfb/players/sean-keel-1.html,27,Sean Keel,Arizona,Pac-10,11,25,26,96.2,13,17,76.5,64
2000,seth-marler-1,/cfb/players/seth-marler-1.html,28,Seth Marler,Tulane,CUSA,11,37,39,94.9,16,21,76.2,85
2000,luke-manget-1,/cfb/players/luke-manget-1.html,29,Luke Manget,Georgia Tech,ACC,11,38,38,100.0,12,16,75.0,74
2000,david-hills-1,/cfb/players/david-hills-1.html,30,David Hills,Navy,Ind,11,17,18,94.4,9,12,75.0,44
2000,chris-griffith-1,/cfb/players/chris-griffith-1.html,31,Chris Griffith,UCLA,Pac-10,11,42,44,95.5,9,12,75.0,69
2000,nick-gatto-1,/cfb/players/nick-gatto-1.html,32,Nick Gatto,Arkansas State,Big West,11,24,28,85.7,9,12,75.0,51
2000,andy-payne-1,/cfb/players/andy-payne-1.html,33,Andy Payne,Indiana,Big Ten,11,38,39,97.4,9,12,75.0,65
2000,david-greene-2,/cfb/players/david-greene-2.html,34,David Greene,Virginia,ACC,11,27,28,96.4,11,15,73.3,60
2000,ricky-bishop-1,/cfb/players/ricky-bishop-1.html,35,Ricky Bishop,UTEP,WAC,11,40,43,93.0,13,18,72.2,79
2000,kent-passingham-1,/cfb/players/kent-passingham-1.html,36,Kent Passingham,North Carolina State,ACC,11,36,38,94.7,13,18,72.2,75
2000,aaron-elling-1,/cfb/players/aaron-elling-1.html,37,Aaron Elling,Wyoming,MWC,11,16,16,100.0,10,14,71.4,46
2000,joe-garcia-1,/cfb/players/joe-garcia-1.html,38,Joe Garcia,Kansas,Big 12,11,29,31,93.5,10,14,71.4,59
2000,chris-earnest-1,/cfb/players/chris-earnest-1.html,39,Chris Earnest,Tulsa,WAC,12,24,26,92.3,12,17,70.6,60
2000,john-anderson-1,/cfb/players/john-anderson-1.html,40,John Anderson,Washington,Pac-10,11,38,42,90.5,12,17,70.6,74
2000,travis-dorsch-1,/cfb/players/travis-dorsch-1.html,41,Travis Dorsch*,Purdue,Big Ten,12,45,47,95.7,12,17,70.6,81
2000,andy-brumbergs-1,/cfb/players/andy-brumbergs-1.html,42,Andy Brumbergs,Miami (OH),MAC,11,30,33,90.9,12,17,70.6,66
2000,ryan-primanti-1,/cfb/players/ryan-primanti-1.html,43,Ryan Primanti,Penn State,Big Ten,12,22,25,88.0,14,20,70.0,64
2000,brad-bohn-1,/cfb/players/brad-bohn-1.html,44,Brad Bohn,Utah State,Big West,11,28,32,87.5,14,20,70.0,70
2000,jr-jenkins-1,/cfb/players/jr-jenkins-1.html,45,J.R. Jenkins,Marshall,MAC,12,40,41,97.6,14,20,70.0,82
2000,neal-thomas-1,/cfb/players/neal-thomas-1.html,46,Neal Thomas,Alabama,SEC,11,27,27,100.0,9,13,69.2,54
2000,les-binkley-1,/cfb/players/les-binkley-1.html,47,Les Binkley,Ole Miss,SEC,11,37,39,94.9,9,13,69.2,64
2000,cap-poklemba-1,/cfb/players/cap-poklemba-1.html,48,Cap Poklemba,Temple,Big East,11,26,27,96.3,9,13,69.2,53
2000,mark-christian-jensen-1,/cfb/players/mark-christian-jensen-1.html,49,Mark-Christian Jensen,California,Pac-10,11,25,26,96.2,11,16,68.8,58
2000,zac-derr-1,/cfb/players/zac-derr-1.html,50,Zac Derr,Akron,MAC,11,38,41,92.7,11,16,68.8,71
2000,bill-gramatica-2,/cfb/players/bill-gramatica-2.html,51,Bill Gramatica,South Florida,Ind,11,29,30,96.7,16,24,66.7,77
2000,mike-barth-1,/cfb/players/mike-barth-1.html,52,Mike Barth*,Arizona State,Pac-10,12,33,35,94.3,16,24,66.7,81
2000,kevin-kerr-1,/cfb/players/kevin-kerr-1.html,53,Kevin Kerr,Ohio,MAC,11,39,42,92.9,12,18,66.7,75
2000,ryan-white-1,/cfb/players/ryan-white-1.html,54,Ryan White,Memphis,CUSA,11,18,18,100.0,12,18,66.7,54
2000,scott-westerfield-1,/cfb/players/scott-westerfield-1.html,55,Scott Westerfield,Mississippi State,SEC,11,37,39,94.9,12,18,66.7,73
2000,brant-hanna-1,/cfb/players/brant-hanna-1.html,56,Brant Hanna,Southern Mississippi,CUSA,11,32,32,100.0,12,18,66.7,68
2000,vladimir-borombozin-1,/cfb/players/vladimir-borombozin-1.html,57,Vladimir Borombozin,New Mexico,MWC,12,21,25,84.0,10,15,66.7,51
2000,nick-lotz-1,/cfb/players/nick-lotz-1.html,58,Nick Lotz,Pitt,Big East,11,29,31,93.5,10,15,66.7,59
2000,eric-hannum-1,/cfb/players/eric-hannum-1.html,59,Eric Hannum,Hawaii,WAC,12,28,29,96.6,10,15,66.7,58
2000,ben-davis-1,/cfb/players/ben-davis-1.html,60,Ben Davis,Idaho,Big West,11,37,40,92.5,10,15,66.7,67
2000,brad-selent-1,/cfb/players/brad-selent-1.html,61,Brad Selent,Western Michigan,MAC,12,47,48,97.9,8,12,66.7,71
2000,brian-kopka-1,/cfb/players/brian-kopka-1.html,62,Brian Kopka,Maryland,ACC,11,26,28,92.9,8,12,66.7,50
2000,derek-crabtree-1,/cfb/players/derek-crabtree-1.html,63,Derek Crabtree,Rice,WAC,10,25,27,92.6,8,12,66.7,49
2000,dan-nystrom-1,/cfb/players/dan-nystrom-1.html,64,Dan Nystrom,Minnesota,Big Ten,11,31,33,93.9,22,34,64.7,97
2000,todd-sievers-1,/cfb/players/todd-sievers-1.html,65,Todd Sievers,Miami (FL),Big East,11,52,58,89.7,11,17,64.7,85
2000,david-schaefer-1,/cfb/players/david-schaefer-1.html,66,David Schaefer,Michigan State,Big Ten,11,18,21,85.7,11,17,64.7,51
2000,reid-bethea-1,/cfb/players/reid-bethea-1.html,67,Reid Bethea*,South Carolina,SEC,12,18,19,94.7,9,14,64.3,45
2000,nate-kaeding-1,/cfb/players/nate-kaeding-1.html,68,Nate Kaeding,Iowa,Big Ten,12,20,20,100.0,14,22,63.6,62
2000,chris-birkholz-1,/cfb/players/chris-birkholz-1.html,69,Chris Birkholz,Texas Tech,Big 12,12,35,36,97.2,12,19,63.2,71
2000,nate-tandberg-1,/cfb/players/nate-tandberg-1.html,70,Nate Tandberg,San Diego State,MWC,11,18,18,100.0,12,19,63.2,54
2000,tim-duncan-1,/cfb/players/tim-duncan-1.html,71,Tim Duncan*,Oklahoma,Big 12,13,60,61,98.4,15,24,62.5,105
2000,geoff-heyl-1,/cfb/players/geoff-heyl-1.html,72,Geoff Heyl,Connecticut,Ind,11,22,24,91.7,10,16,62.5,52
2000,anousith-wilaikul-1,/cfb/players/anousith-wilaikul-1.html,73,Anousith Wilaikul,Washington State,Pac-10,11,13,16,81.3,8,13,61.5,37
2000,aaron-hunt-1,/cfb/players/aaron-hunt-1.html,74,Aaron Hunt,Clemson,ACC,11,43,45,95.6,8,13,61.5,67
2000,seth-condley-1,/cfb/players/seth-condley-1.html,75,Seth Condley,Oklahoma State,Big 12,11,19,21,90.5,12,20,60.0,55
2000,vitaly-pisetsky-1,/cfb/players/vitaly-pisetsky-1.html,76,Vitaly Pisetsky,Wisconsin,Big Ten,13,31,32,96.9,13,22,59.1,70
2000,josh-scobee-1,/cfb/players/josh-scobee-1.html,77,Josh Scobee,Louisiana Tech,Ind,12,39,41,95.1,10,17,58.8,69
2000,kevin-miller-1,/cfb/players/kevin-miller-1.html,78,Kevin Miller,East Carolina,CUSA,11,42,43,97.7,10,17,58.8,72
2000,cw-hurst-1,/cfb/players/cw-hurst-1.html,79,C.W. Hurst,Colorado State,MWC,11,39,43,90.7,10,17,58.8,69
2000,mike-biselli-1,/cfb/players/mike-biselli-1.html,80,Mike Biselli,Stanford,Pac-10,11,26,29,89.7,7,12,58.3,47
2000,hayden-epstein-1,/cfb/players/hayden-epstein-1.html,81,Hayden Epstein,Michigan,Big Ten,11,22,24,91.7,7,12,58.3,43
2000,brent-garber-1,/cfb/players/brent-garber-1.html,82,Brent Garber,Duke,ACC,11,16,18,88.9,7,12,58.3,37
2000,nicholas-setta-1,/cfb/players/nicholas-setta-1.html,83,Nicholas Setta,Notre Dame,Ind,11,44,45,97.8,8,14,57.1,68
2000,nick-setta-1,/cfb/players/nick-setta-1.html,84,Nick Setta,Notre Dame,Ind,11,44,45,97.8,8,14,57.1,68
2000,jon-ohliger-1,/cfb/players/jon-ohliger-1.html,85,Jon Ohliger,West Virginia,Big East,10,27,31,87.1,8,14,57.1,51
2000,asen-asparuhov-1,/cfb/players/asen-asparuhov-1.html,86,Asen Asparuhov,Fresno State,WAC,11,32,33,97.0,9,16,56.3,59
2000,mike-knapp-1,/cfb/players/mike-knapp-1.html,87,Mike Knapp,Bowling Green State,MAC,11,15,16,93.8,10,18,55.6,45
2000,john-corbello-1,/cfb/players/john-corbello-1.html,88,John Corbello,LSU,SEC,11,33,35,94.3,10,18,55.6,63
2000,mike-mcknight-1,/cfb/players/mike-mcknight-1.html,89,Mike McKnight,Iowa State,Big 12,6,16,19,84.2,7,13,53.8,37
2000,josh-frankel-1,/cfb/players/josh-frankel-1.html,90,Josh Frankel*,Oregon,Pac-10,12,37,39,94.9,13,25,52.0,76
2000,mike-clark-1,/cfb/players/mike-clark-1.html,91,Mike Clark,Houston,CUSA,11,17,19,89.5,10,21,47.6,47
2000,jacob-crowley-1,/cfb/players/jacob-crowley-1.html,92,Jacob Crowley,SMU,WAC,12,19,19,100.0,10,21,47.6,49
2000,dario-aguiniga-1,/cfb/players/dario-aguiniga-1.html,93,Dario Aguiniga,New Mexico State,Big West,11,34,38,89.5,9,19,47.4,61
2000,steven-barone-1,/cfb/players/steven-barone-1.html,94,Steven Barone,Rutgers,Big East,11,29,31,93.5,6,13,46.2,47
2000,steve-barone-1,/cfb/players/steve-barone-1.html,95,Steve Barone,Rutgers,Big East,11,29,31,93.5,6,13,46.2,47
2000,scott-keller-1,/cfb/players/scott-keller-1.html,96,Scott Keller,Buffalo,MAC,11,19,22,86.4,6,13,46.2,37
2000,brendan-mullen-1,/cfb/players/brendan-mullen-1.html,97,Brendan Mullen,Army,CUSA,11,27,29,93.1,5,11,45.5,42
2000,mark-mariscal-1,/cfb/players/mark-mariscal-1.html,98,Mark Mariscal,Colorado,Big 12,11,24,26,92.3,7,18,38.9,45
