Year,Player_ID,NCAA_Link,Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Team,Round,Pick
2000,,,Ashley Cooper,SS,Mississippi State,70,208,4.67,,16.0,117.0,,,,999,999
2000,CoxxRe20,,Renard Cox,CB,Maryland,71,192,4.68,38.0,13.0,111.0,7.1,,,999,999
2000,CrawCa00,https://www.sports-reference.com/cfb/players/casey-crawford-1.html,Casey Crawford,TE,Virginia,78,244,4.83,,18.0,,,,,999,999
2000,,,Sedrick Curry,CB,Texas A&M,73,197,4.44,39.0,,125.0,6.34,3.94,,999,999
2000,,,Chris Daniels,WR,Purdue,75,217,4.74,33.0,,115.0,7.2,4.24,,999,999
2000,,,Brandon Daniels,WR,Oklahoma,70,211,4.54,,,,,,,999,999
2000,,,Joe Dean Davenport,TE,Arkansas,79,268,5.06,30.0,13.0,108.0,7.33,4.67,,999,999
2000,,,Darren Davis,RB,Iowa State,68,189,4.81,32.0,13.0,109.0,7.04,4.47,,999,999
2000,,,Adam Davis,OG,Oklahoma State,76,309,5.66,26.0,,92.0,8.51,5.0,,999,999
2000,DawsJa00,https://www.sports-reference.com/cfb/players/jajuan-dawson-1.html,JaJuan Dawson,WR,Tulane,73,199,4.55,34.0,,117.0,6.96,4.16,Cleveland Browns,3,79
2000,DaynRo00,https://www.sports-reference.com/cfb/players/ron-dayne-1.html,Ron Dayne,RB,Wisconsin,71,259,4.65,,,,,,New York Giants,1,11
2000,DeLoJe20,,Jerry DeLoach,DT,California,75,314,4.99,31.5,19.0,101.0,7.4,4.57,,999,999
2000,,,Mike Derouselle,DT,Houston,74,314,5.28,27.5,27.0,96.0,7.67,4.8,,999,999
2000,DiggNa20,,Na'il Diggs,OLB,Ohio State,76,231,4.66,,,,,,Green Bay Packers,4,98
2000,DrouRe00,https://www.sports-reference.com/cfb/players/reuben-droughns-1.html,Reuben Droughns,RB,Oregon,71,215,4.66,30.0,13.0,115.0,7.34,4.41,Detroit Lions,3,81
2000,DugaRo00,https://www.sports-reference.com/cfb/players/ron-dugans-1.html,Ron Dugans,WR,Florida State,73,206,4.58,,,117.0,,,Cincinnati Bengals,3,66
