Year,Player_NCAA_ID,NCAA_Link,Rk,Player,School,Conf,G,Punts,Yds,Avg
2019,joel-whitford-1,/cfb/players/joel-whitford-1.html,18,Joel Whitford*,Washington,Pac-12,13,44,1979,45.0
2019,pressley-harvin-iii-1,/cfb/players/pressley-harvin-iii-1.html,19,Pressley Harvin III,Georgia Tech,ACC,12,80,3583,44.8
2019,adam-williams-2,/cfb/players/adam-williams-2.html,20,Adam Williams*,Memphis,American,14,44,1972,44.8
2019,chris-barnes-5,/cfb/players/chris-barnes-5.html,21,Chris Barnes,Rice,CUSA,12,35,1569,44.8
2019,blake-hayes-1,/cfb/players/blake-hayes-1.html,22,Blake Hayes*,Illinois,Big Ten,13,77,3437,44.6
2019,kyle-thompson-1,/cfb/players/kyle-thompson-1.html,23,Kyle Thompson,Kansas,Big 12,12,57,2538,44.5
2019,alex-kinney-1,/cfb/players/alex-kinney-1.html,24,Alex Kinney,Colorado,Pac-12,12,59,2619,44.4
2019,mac-brown-1,/cfb/players/mac-brown-1.html,25,Mac Brown,Ole Miss,SEC,11,57,2524,44.3
2019,dru-chrisman-1,/cfb/players/dru-chrisman-1.html,26,Drue Chrisman*,Ohio State,Big Ten,14,46,2037,44.3
2019,cody-grace-1,/cfb/players/cody-grace-1.html,27,Cody Grace*,Arkansas State,Sun Belt,13,65,2874,44.2
2019,will-hart-2,/cfb/players/will-hart-2.html,28,Will Hart*,Michigan,Big Ten,13,51,2256,44.2
2019,rhys-byrns-1,/cfb/players/rhys-byrns-1.html,29,Rhys Byrns*,Louisiana,Sun Belt,12,45,1991,44.2
2019,blake-maimone-1,/cfb/players/blake-maimone-1.html,30,Blake Maimone*,Oregon,Pac-12,14,61,2685,44.0
