Year,Player,Pos,School,NCAA_Link
2000,Fred Smoot,DB,Mississippi State,https://www.sports-reference.com/cfb/players/fred-smoot-1.html
2000,J.T. Thatcher,DB,Oklahoma,https://www.sports-reference.com/cfb/players/jt-thatcher-1.html
2000,Nick Harris,P,California,https://www.sports-reference.com/cfb/players/nick-harris-1.html
2001,Rex Grossman,QB,Florida,https://www.sports-reference.com/cfb/players/rex-grossman-1.html
2001,William Green,RB,Boston College,https://www.sports-reference.com/cfb/players/william-green-1.html
2001,Luke Staley,RB,Brigham Young,https://www.sports-reference.com/cfb/players/luke-staley-1.html
2001,Jabar Gaffney,WR,Florida,https://www.sports-reference.com/cfb/players/jabar-gaffney-1.html
2001,Josh Reed,WR,LSU,https://www.sports-reference.com/cfb/players/josh-reed-1.html
2001,Daniel Graham,TE,Colorado,https://www.sports-reference.com/cfb/players/daniel-graham-1.html
2001,Lecharles Bentley,OL,Ohio State,https://www.sports-reference.com/cfb/players/lecharles-bentley-1.html
2001,Toniu Fonori,OL,Nebraska,https://www.sports-reference.com/cfb/players/toniu-fonori-1.html
2001,Andre Gurode,OL,Colorado,https://www.sports-reference.com/cfb/players/andre-gurode-1.html
2001,Bryant McKinnie,OL,Miami (FL),https://www.sports-reference.com/cfb/players/bryant-mckinnie-1.html
2001,Terrence Metcalf,OL,Ole Miss,https://www.sports-reference.com/cfb/players/terrence-metcalf-1.html
2001,Mike Pearson,OL,Florida,https://www.sports-reference.com/cfb/players/mike-pearson-1.html
2001,Mike Williams,OL,Texas,https://www.sports-reference.com/cfb/players/mike-williams-6.html
2001,Damon Duval,K,Auburn,https://www.sports-reference.com/cfb/players/damon-duval-1.html
2001,Alex Brown,DL,Florida,https://www.sports-reference.com/cfb/players/alex-brown-1.html
2001,Dwight Freeney,DL,Syracuse,https://www.sports-reference.com/cfb/players/dwight-freeney-1.html
2001,John Henderson,DL,Tennessee,https://www.sports-reference.com/cfb/players/john-henderson-1.html
2001,Julius Peppers,DL,North Carolina,https://www.sports-reference.com/cfb/players/julius-peppers-1.html
2001,Rocky Calmus,LB,Oklahoma,https://www.sports-reference.com/cfb/players/rocky-calmus-1.html
2001,E.J. Henderson,LB,Maryland,https://www.sports-reference.com/cfb/players/ej-henderson-1.html
2001,Robert Thomas,LB,UCLA,https://www.sports-reference.com/cfb/players/robert-thomas-1.html
2001,Quentin Jammer,DB,Texas,https://www.sports-reference.com/cfb/players/quentin-jammer-1.html
2001,Ed Reed,DB,Miami (FL),https://www.sports-reference.com/cfb/players/ed-reed-1.html
2001,Roy Williams,DB,Oklahoma,https://www.sports-reference.com/cfb/players/roy-williams-2.html
2001,Travis Dorsch,P,Purdue,https://www.sports-reference.com/cfb/players/travis-dorsch-1.html
2002,Carson Palmer,QB,USC,https://www.sports-reference.com/cfb/players/carson-palmer-1.html
2002,Larry Johnson,RB,Penn State,https://www.sports-reference.com/cfb/players/larry-johnson-1.html
2002,Willis McGahee,RB,Miami (FL),https://www.sports-reference.com/cfb/players/willis-mcgahee-1.html
2002,Charles Rogers,WR,Michigan State,https://www.sports-reference.com/cfb/players/charles-rogers-1.html
2002,Reggie Williams,WR,Washington,https://www.sports-reference.com/cfb/players/reggie-williams-1.html
2002,Rashaun Woods,WR,Oklahoma State,https://www.sports-reference.com/cfb/players/rashaun-woods-1.html
2002,Dallas Clark,TE,Iowa,https://www.sports-reference.com/cfb/players/dallas-clark-1.html
2002,Shawn Andrews,OL,Arkansas,https://www.sports-reference.com/cfb/players/shawn-andrews-1.html
2002,Derrick Dockery,OL,Texas,https://www.sports-reference.com/cfb/players/derrick-dockery-1.html
2002,Jordan Gross,OL,Utah,https://www.sports-reference.com/cfb/players/jordan-gross-1.html
2002,Brett Romberg,OL,Miami (FL),https://www.sports-reference.com/cfb/players/brett-romberg-1.html
2002,Eric Steinbach,OL,Iowa,https://www.sports-reference.com/cfb/players/eric-steinbach-1.html
2002,Mike Nugent,K,Ohio State,https://www.sports-reference.com/cfb/players/mike-nugent-1.html
2002,Derek Abney,AP,Kentucky,https://www.sports-reference.com/cfb/players/derek-abney-1.html
2002,Tommie Harris,DL,Oklahoma,https://www.sports-reference.com/cfb/players/tommie-harris-1.html
2002,Rien Long,DL,Washington State,https://www.sports-reference.com/cfb/players/rien-long-1.html
2002,David Pollack,DL,Georgia,https://www.sports-reference.com/cfb/players/david-pollack-1.html
2002,Terrell Suggs,DL,Arizona State,https://www.sports-reference.com/cfb/players/terrell-suggs-1.html
2002,E.J. Henderson,LB,Maryland,https://www.sports-reference.com/cfb/players/ej-henderson-1.html
2002,Teddy Lehman,LB,Oklahoma,https://www.sports-reference.com/cfb/players/teddy-lehman-1.html
2002,Matt Wilhelm,LB,Ohio State,https://www.sports-reference.com/cfb/players/matt-wilhelm-1.html
2002,Mike Doss,DB,Ohio State,https://www.sports-reference.com/cfb/players/mike-doss-1.html
2002,Terence Newman,DB,Kansas State,https://www.sports-reference.com/cfb/players/terence-newman-1.html
2002,Troy Polamalu,DB,USC,https://www.sports-reference.com/cfb/players/troy-polamalu-1.html
2002,Shane Walton,DB,Notre Dame,https://www.sports-reference.com/cfb/players/shane-walton-1.html
2002,Mark Mariscal,P,Colorado,https://www.sports-reference.com/cfb/players/mark-mariscal-1.html
2003,Jason White,QB,Oklahoma,https://www.sports-reference.com/cfb/players/jason-white-1.html
2003,Kevin Jones,RB,Virginia Tech,https://www.sports-reference.com/cfb/players/kevin-jones-3.html
2003,Chris Perry,RB,Michigan,https://www.sports-reference.com/cfb/players/chris-perry-1.html
2003,Larry Fitzgerald,WR,Pitt,https://www.sports-reference.com/cfb/players/larry-fitzgerald-1.html
2003,Mike Williams,WR,USC,https://www.sports-reference.com/cfb/players/mike-williams-3.html
2003,Kellen Winslow,TE,Miami (FL),https://www.sports-reference.com/cfb/players/kellen-winslow-1.html
2003,Shawn Andrews,OL,Arkansas,https://www.sports-reference.com/cfb/players/shawn-andrews-1.html
2003,Alex Barron,OL,Florida State,https://www.sports-reference.com/cfb/players/alex-barron-1.html
2003,Robert Gallery,OL,Iowa,https://www.sports-reference.com/cfb/players/robert-gallery-1.html
2003,Jake Grove,OL,Virginia Tech,https://www.sports-reference.com/cfb/players/jake-grove-1.html
2003,Jacob Rogers,OL,USC,https://www.sports-reference.com/cfb/players/jacob-rogers-2.html
2003,Nick Browne,K,Texas Christian,https://www.sports-reference.com/cfb/players/nick-browne-1.html
2003,Nate Kaeding,K,Iowa,https://www.sports-reference.com/cfb/players/nate-kaeding-1.html
2003,Antonio Perkins,KR,Oklahoma,https://www.sports-reference.com/cfb/players/antonio-perkins-1.html
2003,Dave Ball,DL,UCLA,https://www.sports-reference.com/cfb/players/dave-ball-1.html
2003,Tommie Harris,DL,Oklahoma,https://www.sports-reference.com/cfb/players/tommie-harris-1.html
2003,Chad Lavalais,DL,LSU,https://www.sports-reference.com/cfb/players/chad-lavalais-1.html
2003,Kenechi Udeze,DL,USC,https://www.sports-reference.com/cfb/players/kenechi-udeze-1.html
2003,Derrick Johnson,LB,Texas,https://www.sports-reference.com/cfb/players/derrick-johnson-3.html
2003,Teddy Lehman,LB,Oklahoma,https://www.sports-reference.com/cfb/players/teddy-lehman-1.html
2003,Grant Wiley,LB,West Virginia,https://www.sports-reference.com/cfb/players/grant-wiley-1.html
2003,Will Allen,DB,Ohio State,https://www.sports-reference.com/cfb/players/will-allen-1.html
2003,Keiwan Ratliff,DB,Florida,https://www.sports-reference.com/cfb/players/keiwan-ratliff-1.html
2003,Derrick Strait,DB,Oklahoma,https://www.sports-reference.com/cfb/players/derrick-strait-1.html
2003,Sean Taylor,DB,Miami (FL),https://www.sports-reference.com/cfb/players/sean-taylor-1.html
2003,Dustin Colquitt,P,Tennessee,https://www.sports-reference.com/cfb/players/dustin-colquitt-1.html
2004,Matt Leinart,QB,USC,https://www.sports-reference.com/cfb/players/matt-leinart-1.html
2004,J.J. Arrington,RB,California,https://www.sports-reference.com/cfb/players/jj-arrington-1.html
2004,Adrian Peterson,RB,Oklahoma,https://www.sports-reference.com/cfb/players/adrian-peterson-1.html
2004,Braylon Edwards,WR,Michigan,https://www.sports-reference.com/cfb/players/braylon-edwards-1.html
2004,Taylor Stubblefield,WR,Purdue,https://www.sports-reference.com/cfb/players/taylor-stubblefield-1.html
2004,Heath Miller,TE,Virginia,https://www.sports-reference.com/cfb/players/heath-miller-1.html
2004,David Baas,OL,Michigan,https://www.sports-reference.com/cfb/players/david-baas-1.html
2004,Alex Barron,OL,Florida State,https://www.sports-reference.com/cfb/players/alex-barron-1.html
2004,Elton Brown,OL,Virginia,https://www.sports-reference.com/cfb/players/elton-brown-1.html
